date,description,amount
2025-01-02,DELTA AIR 006-1234567890,420.00
2025-01-03,UBER *TRIP HELP.UBER.COM,15.50
2025-01-05,WHOLE FOODS MKT #10250,85.30
2025-01-06,STARBUCKS STORE 12345,6.75
2025-01-08,SHELL OIL 57493829572,55.00
2025-01-10,CHIPOTLE 2385,12.50
2025-01-12,UNITED AIRLINES 016-2983745612,180.00
2025-01-14,LYFT *RIDE SUN 7PM,22.30
2025-01-15,TRADER JOES #503,62.40
2025-01-17,CHEVRON STATION 94832,48.00
2025-01-19,THE CHEESECAKE FACTORY,68.50
2025-01-21,AMAZON.COM AMZN.COM/BILL,145.00
2025-01-23,PG&E UTILITY PAYMENT,125.00
2025-01-25,SOUTHWEST AIR 526-4839201,220.00
2025-01-27,SAFEWAY STORE 1234,95.20
2025-01-28,UBER *EATS ORDER,28.50
2025-01-30,TARGET STORE T-2345,78.90